Scheme_Name	Asset_Value
INF194KA1M07	BANDHAN Corporate Bond Fund - Regular Periodic IDCW
INF194KA1R69	BANDHAN Corporate Bond Fund - Regular Quarterly IDCW
INF251K01EO2	BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option
-	BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option
INF251K01EK0	BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option
INF251K01EM6	BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option
INF251K01GV2	BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option
-	BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option
INF251K01GR0	BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option
INF251K01GT6	BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option
INF251K01EV7	BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION
-	BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION
INF251K01ER5	BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION
INF251K01ET1	BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION
-	CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION
INF760K01HD8	CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)
-	CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION
INF760K01HA4	CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)
-	DSP Corporate Bond Fund - Direct - Growth
INF740KA1KG3	DSP Corporate Bond Fund - Direct - IDCW
INF740KA1KI9	DSP Corporate Bond Fund - Direct - IDCW - Monthly
INF740KA1KK5	DSP Corporate Bond Fund - Direct - IDCW - Quarterly
-	DSP Corporate Bond Fund - Regular - Growth
INF740KA1JZ5	DSP Corporate Bond Fund - Regular - IDCW
INF740KA1KB4	DSP Corporate Bond Fund - Regular - IDCW - Monthly
INF740KA1KD0	DSP Corporate Bond Fund - Regular - IDCW - Quarterly
-	Franklin India Corporate Debt Fund - Direct - Bonus
-	Franklin India Corporate Debt Fund - Direct - GROWTH
-	Franklin India Corporate Debt Fund - Growth
-	Franklin India Corporate Debt Fund - Monthly Bonus
INF090I01DI2	Franklin India Corporate Debt Fund - Plan A - Annual - IDCW
INF090I01FY4	Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW
INF090I01FV0	Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW
INF090I01FR8	Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW
INF090I01FT4	Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW
INF090I01DO0	Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW
INF090I01DK8	Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW
INF090I01DM4	Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW
-	HDFC Corporate Bond Fund - Growth Option
-	HDFC Corporate Bond Fund - Growth Option - Direct Plan
INF179KA1D25	HDFC Corporate Bond Fund - IDCW Option
-	HDFC Corporate Bond Fund - IDCW Option - Direct Plan
INF179K01DE8	HDFC Corporate Bond Fund - Quarterly IDCW Option
INF179K01XC0	HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan
INF917K01VY1	HSBC Corporate Bond Fund - Direct Annual IDCW
-	HSBC Corporate Bond Fund - Direct Growth
INF917K01HO1	HSBC Corporate Bond Fund - Direct Quarterly IDCW
INF917K01HQ6	HSBC Corporate Bond Fund - Direct Semi Annual IDCW
INF917K01WA9	HSBC Corporate Bond Fund - Regular Annual IDCW
-	HSBC Corporate Bond Fund - Regular Growth
INF917K01AG2	HSBC Corporate Bond Fund - Regular Quarterly IDCW
INF917K01AJ6	HSBC Corporate Bond Fund - Regular Semi Annual IDCW
-	HSBC Corporate Bond Fund -Regular Plan - Bonus
-	ICICI Prudential Corporate Bond Fund - Bonus
-	ICICI Prudential Corporate Bond Fund - Daily IDCW
-	ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW
INF109K015B3	ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW
-	ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
INF109KA1N20	ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option
INF109K018B7	ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW
INF109K012C8	ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW
INF109K011C0	ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW
INF109K01CS7	ICICI Prudential Corporate Bond Fund - Fortnightly IDCW
-	ICICI Prudential Corporate Bond Fund - Growth
INF109KA1N04	ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option
INF109K01CT5	ICICI Prudential Corporate Bond Fund - Monthly IDCW
-	ICICI Prudential Corporate Bond Fund - Premium Daily Dividend
-	ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend
INF109K01SM6	ICICI Prudential Corporate Bond Fund - Weekly IDCW
INF109K01SO2	ICICI Prudential Corporate Bond Fund -Quarterly IDCW
-	ICICI Prudential Corporate Bond Fund Retail Daily Dividend
INF109K01CH0	ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend
-	ICICI Prudential Corporate Bond Fund Retail Growth
INF109K01CI8	ICICI Prudential Corporate Bond Fund Retail Monthly Dividend
INF109K01CJ6	ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend
INF109K01CG2	ICICI Prudential Corporate Bond Fund Retail Weekly Dividend
INF205K01QY1	Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)
INF205K01RB7	Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)
INF205K01RE1	Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)
-	Invesco India Corporate Bond Fund - Direct Plan - Growth
INF205K01RH4	Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)
INF205K01RJ0	Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)
INF205K01RL6	Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)
-	Invesco India Corporate Bond Fund - Growth
INF205K01RO0	Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)
INF205K01RQ5	Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)
-	Kotak Coporate Bond Fund- Retail Plan-Growth Option
-	Kotak Corporate Bond Fund- Direct Plan- Growth Option
-	Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option
-	Kotak Corporate Bond Fund- Institutional Plan-Growth Option
-	Kotak Corporate Bond Fund- Regular Plan-Growth Option
INF178L01BP8	Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option
-	Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option
-	Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option
-	Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option
-	Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option
-	Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option
INF178L01BT0	Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option
-	Mirae Asset Corporate Bond Fund Direct Growth Plan
INF769K01HE7	Mirae Asset Corporate Bond Fund Direct IDCW
-	Mirae Asset Corporate Bond Fund Regular Growth
INF769K01HB3	Mirae Asset Corporate Bond Fund Regular IDCW
INF204K01EG7	NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option
INF204K01C23	NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option
INF204KA1EP6	NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option
